Year,Year_ending,Police_Region,Local_Government_Area,Incidents_Recorded,"Rate_per_1k_population"
2022,March,1 North West Metro, Banyule,"5,244","4,086.9"
2022,March,1 North West Metro, Brimbank,"12,330","6,201.0"
2022,March,1 North West Metro, Darebin,"9,276","5,751.5"
2022,March,1 North West Metro, Hobsons Bay,"4,599","4,804.9"
2022,March,1 North West Metro, Hume,"12,196","4,919.7"
2022,March,1 North West Metro, Maribyrnong,"7,025","7,487.0"
2022,March,1 North West Metro, Melbourne,"25,036","14,582.3"
2022,March,1 North West Metro, Melton,"8,805","4,668.5"
2022,March,1 North West Metro, Moonee Valley,"6,018","4,685.6"
2022,March,1 North West Metro, Moreland,"9,173","4,992.2"
2022,March,1 North West Metro, Nillumbik,"1,319","2,063.8"
2022,March,1 North West Metro, Whittlesea,"8,939","3,720.5"
2022,March,1 North West Metro, Wyndham,"12,094","4,048.9"
2022,March,1 North West Metro, Yarra,"8,790","8,734.4"
2022,March,1 North West Metro,Total,"1,30,844","5,684.3"
2022,March,2 Eastern, Alpine,371,"2,827.3"
2022,March,2 Eastern, Bass Coast,"2,147","5,360.6"
2022,March,2 Eastern, Baw Baw,"3,036","5,205.7"
2022,March,2 Eastern, Benalla,978,"6,900.9"
2022,March,2 Eastern, Boroondara,"5,448","3,117.5"
2022,March,2 Eastern, East Gippsland,"3,640","7,434.7"
2022,March,2 Eastern, Greater Shepparton,"5,785","8,622.3"
2022,March,2 Eastern, Indigo,465,"2,718.1"
2022,March,2 Eastern, Knox,"6,631","4,132.5"
2022,March,2 Eastern, Latrobe,"7,826","10,243.8"
2022,March,2 Eastern, Manningham,"2,867","2,288.3"
2022,March,2 Eastern, Mansfield,339,"3,430.6"
2022,March,2 Eastern, Maroondah,"5,094","4,367.5"
2022,March,2 Eastern, Mitchell,"2,350","4,589.9"
2022,March,2 Eastern, Moira,"1,573","5,218.4"
2022,March,2 Eastern, Monash,"8,309","4,227.5"
2022,March,2 Eastern, Murrindindi,531,"3,545.5"
2022,March,2 Eastern, South Gippsland,"1,194","3,896.2"
2022,March,2 Eastern, Strathbogie,446,"3,943.8"
2022,March,2 Eastern, Towong,148,"2,424.0"
2022,March,2 Eastern, Wangaratta,"1,655","5,593.2"
2022,March,2 Eastern, Wellington,"2,964","6,528.4"
2022,March,2 Eastern, Whitehorse,"5,459","3,120.2"
2022,March,2 Eastern, Wodonga,"2,682","6,124.5"
2022,March,2 Eastern, Yarra Ranges,"4,986","3,164.3"
2022,March,2 Eastern,Total,"76,924","4,486.7"
2022,March,3 Southern Metro, Bayside,"3,346","3,217.4"
2022,March,3 Southern Metro, Cardinia,"4,618","3,835.9"
2022,March,3 Southern Metro, Casey,"14,154","3,790.4"
2022,March,3 Southern Metro, Frankston,"8,319","5,958.0"
2022,March,3 Southern Metro, Glen Eira,"5,032","3,284.9"
2022,March,3 Southern Metro, Greater Dandenong,"11,369","7,044.5"
2022,March,3 Southern Metro, Kingston,"6,823","4,194.1"
2022,March,3 Southern Metro, Mornington Peninsula,"6,420","3,806.3"
2022,March,3 Southern Metro, Port Phillip,"9,157","8,215.7"
2022,March,3 Southern Metro, Stonnington,"7,820","6,914.2"
2022,March,3 Southern Metro,Total,"77,058","4,792.4"
2022,March,4 Western, Ararat,960,"8,008.4"
2022,March,4 Western, Ballarat,"7,594","6,573.5"
2022,March,4 Western, Buloke,224,"3,693.0"
2022,March,4 Western, Campaspe,"2,419","6,388.5"
2022,March,4 Western, Central Goldfields,823,"6,223.3"
2022,March,4 Western, Colac-Otway,"1,214","5,669.3"
2022,March,4 Western, Corangamite,580,"3,701.1"
2022,March,4 Western, Gannawarra,565,"5,394.6"
2022,March,4 Western, Glenelg,"1,203","6,160.3"
2022,March,4 Western, Golden Plains,420,"1,664.1"
2022,March,4 Western, Greater Bendigo,"7,501","6,091.6"
2022,March,4 Western, Greater Geelong,"14,569","5,291.3"
2022,March,4 Western, Hepburn,436,"2,662.8"
2022,March,4 Western, Hindmarsh,304,"5,482.9"
2022,March,4 Western, Horsham,"1,608","8,030.8"
2022,March,4 Western, Loddon,387,"5,139.7"
2022,March,4 Western, Macedon Ranges,"1,391","2,654.6"
2022,March,4 Western, Mildura,"4,895","8,897.6"
2022,March,4 Western, Moorabool,"1,573","4,207.4"
2022,March,4 Western, Mount Alexander,716,"3,514.1"
2022,March,4 Western, Moyne,546,"3,143.8"
2022,March,4 Western, Northern Grampians,806,"7,083.1"
2022,March,4 Western, Pyrenees,302,"3,944.9"
2022,March,4 Western, Queenscliffe,118,"3,841.3"
2022,March,4 Western, Southern Grampians,799,"5,010.4"
2022,March,4 Western, Surf Coast,"1,049","2,803.3"
2022,March,4 Western, Swan Hill,"1,696","8,467.6"
2022,March,4 Western, Warrnambool,"2,207","6,157.0"
2022,March,4 Western, West Wimmera,151,"4,063.5"
2022,March,4 Western, Yarriambiack,304,"4,788.5"
2022,March,4 Western,Total,"57,360","5,468.6"
2022,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,900,
2022,March,Justice Institutions and Immigration Facilities,Total,900,
2022,March,Unincorporated Vic, Unincorporated Vic,73,
2022,March,Unincorporated Vic,Total,73,
2021,March,1 North West Metro, Banyule,"6,286","4,858.3"
2021,March,1 North West Metro, Brimbank,"14,514","7,196.5"
2021,March,1 North West Metro, Darebin,"11,475","7,061.5"
2021,March,1 North West Metro, Hobsons Bay,"4,461","4,631.6"
2021,March,1 North West Metro, Hume,"15,479","6,350.7"
2021,March,1 North West Metro, Maribyrnong,"7,048","7,540.6"
2021,March,1 North West Metro, Melbourne,"25,957","15,281.4"
2021,March,1 North West Metro, Melton,"9,883","5,517.9"
2021,March,1 North West Metro, Moonee Valley,"6,108","4,721.0"
2021,March,1 North West Metro, Moreland,"10,148","5,494.1"
2021,March,1 North West Metro, Nillumbik,"1,522","2,353.9"
2021,March,1 North West Metro, Whittlesea,"11,453","4,813.6"
2021,March,1 North West Metro, Wyndham,"12,706","4,387.9"
2021,March,1 North West Metro, Yarra,"10,827","10,868.1"
2021,March,1 North West Metro,Total,"1,47,867","6,479.9"
2021,March,2 Eastern, Alpine,400,"3,060.7"
2021,March,2 Eastern, Bass Coast,"2,096","5,398.6"
2021,March,2 Eastern, Baw Baw,"3,585","6,335.8"
2021,March,2 Eastern, Benalla,995,"7,041.3"
2021,March,2 Eastern, Boroondara,"5,954","3,370.9"
2021,March,2 Eastern, East Gippsland,"3,629","7,501.7"
2021,March,2 Eastern, Greater Shepparton,"5,937","8,889.6"
2021,March,2 Eastern, Indigo,427,"2,514.9"
2021,March,2 Eastern, Knox,"8,283","5,088.8"
2021,March,2 Eastern, Latrobe,"9,087","11,932.1"
2021,March,2 Eastern, Manningham,"3,371","2,655.9"
2021,March,2 Eastern, Mansfield,388,"3,983.6"
2021,March,2 Eastern, Maroondah,"5,708","4,858.5"
2021,March,2 Eastern, Mitchell,"3,163","6,426.8"
2021,March,2 Eastern, Moira,"1,630","5,433.2"
2021,March,2 Eastern, Monash,"9,572","4,834.8"
2021,March,2 Eastern, Murrindindi,663,"4,453.6"
2021,March,2 Eastern, South Gippsland,"1,264","4,150.4"
2021,March,2 Eastern, Strathbogie,453,"4,056.6"
2021,March,2 Eastern, Towong,153,"2,519.3"
2021,March,2 Eastern, Wangaratta,"1,658","5,643.5"
2021,March,2 Eastern, Wellington,"3,218","7,136.5"
2021,March,2 Eastern, Whitehorse,"6,947","3,947.8"
2021,March,2 Eastern, Wodonga,"2,417","5,596.7"
2021,March,2 Eastern, Yarra Ranges,"6,111","3,847.5"
2021,March,2 Eastern,Total,"87,109","5,074.2"
2021,March,3 Southern Metro, Bayside,"3,827","3,624.7"
2021,March,3 Southern Metro, Cardinia,"5,563","4,687.6"
2021,March,3 Southern Metro, Casey,"16,137","4,374.8"
2021,March,3 Southern Metro, Frankston,"10,207","7,180.6"
2021,March,3 Southern Metro, Glen Eira,"6,020","3,880.8"
2021,March,3 Southern Metro, Greater Dandenong,"14,221","8,710.3"
2021,March,3 Southern Metro, Kingston,"8,041","4,882.8"
2021,March,3 Southern Metro, Mornington Peninsula,"7,617","4,510.7"
2021,March,3 Southern Metro, Port Phillip,"10,175","9,077.4"
2021,March,3 Southern Metro, Stonnington,"8,943","7,821.4"
2021,March,3 Southern Metro,Total,"90,751","5,624.0"
2021,March,4 Western, Ararat,"1,087","9,117.6"
2021,March,4 Western, Ballarat,"7,188","6,350.8"
2021,March,4 Western, Buloke,244,"4,019.1"
2021,March,4 Western, Campaspe,"2,456","6,503.9"
2021,March,4 Western, Central Goldfields,820,"6,233.8"
2021,March,4 Western, Colac-Otway,"1,226","5,693.9"
2021,March,4 Western, Corangamite,682,"4,312.9"
2021,March,4 Western, Gannawarra,639,"6,121.9"
2021,March,4 Western, Glenelg,"1,048","5,358.1"
2021,March,4 Western, Golden Plains,450,"1,817.1"
2021,March,4 Western, Greater Bendigo,"8,000","6,590.8"
2021,March,4 Western, Greater Geelong,"15,511","5,755.3"
2021,March,4 Western, Hepburn,507,"3,114.1"
2021,March,4 Western, Hindmarsh,287,"5,158.2"
2021,March,4 Western, Horsham,"1,472","7,374.4"
2021,March,4 Western, Loddon,412,"5,495.5"
2021,March,4 Western, Macedon Ranges,"1,853","3,581.2"
2021,March,4 Western, Mildura,"4,405","7,975.0"
2021,March,4 Western, Moorabool,"1,990","5,411.6"
2021,March,4 Western, Mount Alexander,728,"3,604.7"
2021,March,4 Western, Moyne,509,"2,955.7"
2021,March,4 Western, Northern Grampians,894,"7,855.2"
2021,March,4 Western, Pyrenees,344,"4,513.3"
2021,March,4 Western, Queenscliffe,81,"2,652.3"
2021,March,4 Western, Southern Grampians,791,"4,929.3"
2021,March,4 Western, Surf Coast,"1,164","3,208.6"
2021,March,4 Western, Swan Hill,"1,857","9,211.8"
2021,March,4 Western, Warrnambool,"2,200","6,178.6"
2021,March,4 Western, West Wimmera,122,"3,253.3"
2021,March,4 Western, Yarriambiack,333,"5,162.0"
2021,March,4 Western,Total,"59,300","5,724.4"
2021,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,270",
2021,March,Justice Institutions and Immigration Facilities,Total,"1,270",
2021,March,Unincorporated Vic, Unincorporated Vic,30,
2021,March,Unincorporated Vic,Total,30,
2020,March,1 North West Metro, Banyule,"7,262","5,505.9"
2020,March,1 North West Metro, Brimbank,"15,480","7,437.1"
2020,March,1 North West Metro, Darebin,"11,895","7,150.3"
2020,March,1 North West Metro, Hobsons Bay,"4,906","4,998.7"
2020,March,1 North West Metro, Hume,"15,894","6,594.0"
2020,March,1 North West Metro, Maribyrnong,"7,305","7,695.3"
2020,March,1 North West Metro, Melbourne,"26,901","14,649.7"
2020,March,1 North West Metro, Melton,"9,320","5,406.1"
2020,March,1 North West Metro, Moonee Valley,"6,719","5,101.7"
2020,March,1 North West Metro, Moreland,"11,100","5,883.6"
2020,March,1 North West Metro, Nillumbik,"1,691","2,593.6"
2020,March,1 North West Metro, Whittlesea,"12,248","5,180.8"
2020,March,1 North West Metro, Wyndham,"13,871","4,900.0"
2020,March,1 North West Metro, Yarra,"11,428","11,087.0"
2020,March,1 North West Metro,Total,"1,56,020","6,769.7"
2020,March,2 Eastern, Alpine,438,"3,376.8"
2020,March,2 Eastern, Bass Coast,"1,786","4,770.4"
2020,March,2 Eastern, Baw Baw,"3,587","6,537.7"
2020,March,2 Eastern, Benalla,935,"6,614.8"
2020,March,2 Eastern, Boroondara,"6,521","3,563.9"
2020,March,2 Eastern, East Gippsland,"3,638","7,623.5"
2020,March,2 Eastern, Greater Shepparton,"6,382","9,519.4"
2020,March,2 Eastern, Indigo,430,"2,547.1"
2020,March,2 Eastern, Knox,"8,873","5,374.6"
2020,March,2 Eastern, Latrobe,"10,075","13,274.9"
2020,March,2 Eastern, Manningham,"3,741","2,902.4"
2020,March,2 Eastern, Mansfield,337,"3,557.9"
2020,March,2 Eastern, Maroondah,"5,920","4,960.0"
2020,March,2 Eastern, Mitchell,"3,120","6,550.9"
2020,March,2 Eastern, Moira,"1,835","6,114.2"
2020,March,2 Eastern, Monash,"9,577","4,675.2"
2020,March,2 Eastern, Murrindindi,598,"4,079.4"
2020,March,2 Eastern, South Gippsland,"1,359","4,493.6"
2020,March,2 Eastern, Strathbogie,475,"4,322.1"
2020,March,2 Eastern, Towong,155,"2,540.6"
2020,March,2 Eastern, Wangaratta,"1,748","5,988.1"
2020,March,2 Eastern, Wellington,"3,385","7,562.4"
2020,March,2 Eastern, Whitehorse,"7,354","4,070.5"
2020,March,2 Eastern, Wodonga,"2,828","6,631.5"
2020,March,2 Eastern, Yarra Ranges,"6,187","3,869.3"
2020,March,2 Eastern,Total,"91,284","5,263.2"
2020,March,3 Southern Metro, Bayside,"4,195","3,901.7"
2020,March,3 Southern Metro, Cardinia,"5,449","4,692.1"
2020,March,3 Southern Metro, Casey,"17,145","4,705.1"
2020,March,3 Southern Metro, Frankston,"11,096","7,744.2"
2020,March,3 Southern Metro, Glen Eira,"6,105","3,860.3"
2020,March,3 Southern Metro, Greater Dandenong,"14,725","8,751.0"
2020,March,3 Southern Metro, Kingston,"9,034","5,402.2"
2020,March,3 Southern Metro, Mornington Peninsula,"8,620","5,105.7"
2020,March,3 Southern Metro, Port Phillip,"9,957","8,552.9"
2020,March,3 Southern Metro, Stonnington,"9,462","7,980.3"
2020,March,3 Southern Metro,Total,"95,788","5,881.0"
2020,March,4 Western, Ararat,894,"7,473.7"
2020,March,4 Western, Ballarat,"8,711","7,824.8"
2020,March,4 Western, Buloke,254,"4,163.3"
2020,March,4 Western, Campaspe,"2,798","7,428.1"
2020,March,4 Western, Central Goldfields,866,"6,614.7"
2020,March,4 Western, Colac-Otway,"1,280","5,910.3"
2020,March,4 Western, Corangamite,548,"3,440.7"
2020,March,4 Western, Gannawarra,608,"5,846.2"
2020,March,4 Western, Glenelg,"1,165","5,938.4"
2020,March,4 Western, Golden Plains,472,"1,947.1"
2020,March,4 Western, Greater Bendigo,"8,323","6,939.4"
2020,March,4 Western, Greater Geelong,"17,000","6,420.4"
2020,March,4 Western, Hepburn,738,"4,568.0"
2020,March,4 Western, Hindmarsh,246,"4,399.1"
2020,March,4 Western, Horsham,"1,356","6,775.9"
2020,March,4 Western, Loddon,366,"4,897.6"
2020,March,4 Western, Macedon Ranges,"1,724","3,383.2"
2020,March,4 Western, Mildura,"5,545","9,916.7"
2020,March,4 Western, Moorabool,"1,641","4,558.1"
2020,March,4 Western, Mount Alexander,894,"4,470.2"
2020,March,4 Western, Moyne,506,"2,972.4"
2020,March,4 Western, Northern Grampians,735,"6,446.8"
2020,March,4 Western, Pyrenees,350,"4,632.7"
2020,March,4 Western, Queenscliffe,101,"3,357.7"
2020,March,4 Western, Southern Grampians,887,"5,498.7"
2020,March,4 Western, Surf Coast,"1,043","3,000.5"
2020,March,4 Western, Swan Hill,"1,770","8,624.0"
2020,March,4 Western, Warrnambool,"2,467","6,945.0"
2020,March,4 Western, West Wimmera,143,"3,754.3"
2020,March,4 Western, Yarriambiack,318,"4,827.7"
2020,March,4 Western,Total,"63,749","6,218.6"
2020,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,377",
2020,March,Justice Institutions and Immigration Facilities,Total,"1,377",
2020,March,Unincorporated Vic, Unincorporated Vic,109,
2020,March,Unincorporated Vic,Total,109,
2019,March,1 North West Metro, Banyule,"7,006","5,322.1"
2019,March,1 North West Metro, Brimbank,"14,661","6,995.8"
2019,March,1 North West Metro, Darebin,"11,245","6,847.4"
2019,March,1 North West Metro, Hobsons Bay,"4,848","4,958.8"
2019,March,1 North West Metro, Hume,"15,591","6,675.8"
2019,March,1 North West Metro, Maribyrnong,"6,669","7,134.0"
2019,March,1 North West Metro, Melbourne,"26,587","14,853.6"
2019,March,1 North West Metro, Melton,"8,330","5,050.4"
2019,March,1 North West Metro, Moonee Valley,"6,485","4,976.5"
2019,March,1 North West Metro, Moreland,"11,407","6,139.0"
2019,March,1 North West Metro, Nillumbik,"1,623","2,493.1"
2019,March,1 North West Metro, Whittlesea,"11,912","5,172.5"
2019,March,1 North West Metro, Wyndham,"11,463","4,236.0"
2019,March,1 North West Metro, Yarra,"11,182","11,015.0"
2019,March,1 North West Metro,Total,"1,49,009","6,599.8"
2019,March,2 Eastern, Alpine,399,"3,114.3"
2019,March,2 Eastern, Bass Coast,"1,782","4,907.1"
2019,March,2 Eastern, Baw Baw,"3,179","5,953.9"
2019,March,2 Eastern, Benalla,877,"6,249.1"
2019,March,2 Eastern, Boroondara,"5,570","3,040.4"
2019,March,2 Eastern, East Gippsland,"3,193","6,749.4"
2019,March,2 Eastern, Greater Shepparton,"6,228","9,365.3"
2019,March,2 Eastern, Indigo,371,"2,221.7"
2019,March,2 Eastern, Knox,"8,090","4,916.3"
2019,March,2 Eastern, Latrobe,"9,942","13,159.0"
2019,March,2 Eastern, Manningham,"3,410","2,672.7"
2019,March,2 Eastern, Mansfield,321,"3,498.6"
2019,March,2 Eastern, Maroondah,"6,034","5,089.0"
2019,March,2 Eastern, Mitchell,"3,034","6,583.2"
2019,March,2 Eastern, Moira,"1,682","5,621.7"
2019,March,2 Eastern, Monash,"8,030","3,957.7"
2019,March,2 Eastern, Murrindindi,593,"4,070.6"
2019,March,2 Eastern, South Gippsland,995,"3,326.6"
2019,March,2 Eastern, Strathbogie,448,"4,156.6"
2019,March,2 Eastern, Towong,173,"2,864.7"
2019,March,2 Eastern, Wangaratta,"1,639","5,616.1"
2019,March,2 Eastern, Wellington,"2,921","6,582.1"
2019,March,2 Eastern, Whitehorse,"6,361","3,558.0"
2019,March,2 Eastern, Wodonga,"2,420","5,750.5"
2019,March,2 Eastern, Yarra Ranges,"5,767","3,616.3"
2019,March,2 Eastern,Total,"83,459","4,852.9"
2019,March,3 Southern Metro, Bayside,"3,606","3,374.6"
2019,March,3 Southern Metro, Cardinia,"4,697","4,187.1"
2019,March,3 Southern Metro, Casey,"16,217","4,581.6"
2019,March,3 Southern Metro, Frankston,"11,156","7,820.8"
2019,March,3 Southern Metro, Glen Eira,"4,892","3,125.2"
2019,March,3 Southern Metro, Greater Dandenong,"14,195","8,436.3"
2019,March,3 Southern Metro, Kingston,"8,608","5,191.7"
2019,March,3 Southern Metro, Mornington Peninsula,"8,161","4,868.8"
2019,March,3 Southern Metro, Port Phillip,"9,650","8,346.3"
2019,March,3 Southern Metro, Stonnington,"8,170","6,936.9"
2019,March,3 Southern Metro,Total,"89,352","5,559.3"
2019,March,4 Western, Ararat,912,"7,700.1"
2019,March,4 Western, Ballarat,"8,129","7,423.5"
2019,March,4 Western, Buloke,214,"3,495.0"
2019,March,4 Western, Campaspe,"2,919","7,760.2"
2019,March,4 Western, Central Goldfields,917,"6,956.5"
2019,March,4 Western, Colac-Otway,"1,320","6,121.9"
2019,March,4 Western, Corangamite,487,"3,040.5"
2019,March,4 Western, Gannawarra,581,"5,549.7"
2019,March,4 Western, Glenelg,956,"4,859.9"
2019,March,4 Western, Golden Plains,510,"2,149.9"
2019,March,4 Western, Greater Bendigo,"8,092","6,852.3"
2019,March,4 Western, Greater Geelong,"15,777","6,093.0"
2019,March,4 Western, Hepburn,619,"3,875.3"
2019,March,4 Western, Hindmarsh,249,"4,457.6"
2019,March,4 Western, Horsham,"1,436","7,208.8"
2019,March,4 Western, Loddon,386,"5,145.3"
2019,March,4 Western, Macedon Ranges,"1,782","3,547.7"
2019,March,4 Western, Mildura,"5,493","9,847.8"
2019,March,4 Western, Moorabool,"1,633","4,658.9"
2019,March,4 Western, Mount Alexander,751,"3,802.3"
2019,March,4 Western, Moyne,458,"2,701.7"
2019,March,4 Western, Northern Grampians,762,"6,683.6"
2019,March,4 Western, Pyrenees,419,"5,609.1"
2019,March,4 Western, Queenscliffe,118,"4,015.0"
2019,March,4 Western, Southern Grampians,"1,108","6,882.8"
2019,March,4 Western, Surf Coast,899,"2,687.0"
2019,March,4 Western, Swan Hill,"1,868","9,046.0"
2019,March,4 Western, Warrnambool,"3,007","8,547.2"
2019,March,4 Western, West Wimmera,125,"3,256.1"
2019,March,4 Western, Yarriambiack,320,"4,821.5"
2019,March,4 Western,Total,"62,247","6,156.0"
2019,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,483",
2019,March,Justice Institutions and Immigration Facilities,Total,"1,483",
2019,March,Unincorporated Vic, Unincorporated Vic,95,
2019,March,Unincorporated Vic,Total,95,
2018,March,1 North West Metro, Banyule,"7,369","5,657.6"
2018,March,1 North West Metro, Brimbank,"13,549","6,490.7"
2018,March,1 North West Metro, Darebin,"11,425","7,067.6"
2018,March,1 North West Metro, Hobsons Bay,"4,830","5,006.2"
2018,March,1 North West Metro, Hume,"15,266","6,802.3"
2018,March,1 North West Metro, Maribyrnong,"6,582","7,200.3"
2018,March,1 North West Metro, Melbourne,"26,849","15,764.1"
2018,March,1 North West Metro, Melton,"7,803","4,979.0"
2018,March,1 North West Metro, Moonee Valley,"6,692","5,232.0"
2018,March,1 North West Metro, Moreland,"11,020","6,062.3"
2018,March,1 North West Metro, Nillumbik,"1,795","2,764.0"
2018,March,1 North West Metro, Whittlesea,"11,340","5,077.3"
2018,March,1 North West Metro, Wyndham,"10,861","4,253.1"
2018,March,1 North West Metro, Yarra,"10,648","10,802.8"
2018,March,1 North West Metro,Total,"1,46,029","6,662.2"
2018,March,2 Eastern, Alpine,319,"2,505.9"
2018,March,2 Eastern, Bass Coast,"1,799","5,092.6"
2018,March,2 Eastern, Baw Baw,"2,929","5,631.4"
2018,March,2 Eastern, Benalla,980,"6,988.5"
2018,March,2 Eastern, Boroondara,"5,632","3,105.2"
2018,March,2 Eastern, East Gippsland,"3,055","6,525.5"
2018,March,2 Eastern, Greater Shepparton,"5,979","9,058.0"
2018,March,2 Eastern, Indigo,339,"2,055.9"
2018,March,2 Eastern, Knox,"8,516","5,217.8"
2018,March,2 Eastern, Latrobe,"9,376","12,466.6"
2018,March,2 Eastern, Manningham,"3,660","2,915.5"
2018,March,2 Eastern, Mansfield,453,"5,045.1"
2018,March,2 Eastern, Maroondah,"5,880","5,004.0"
2018,March,2 Eastern, Mitchell,"3,041","6,864.9"
2018,March,2 Eastern, Moira,"1,504","5,047.5"
2018,March,2 Eastern, Monash,"8,299","4,145.1"
2018,March,2 Eastern, Murrindindi,532,"3,674.5"
2018,March,2 Eastern, South Gippsland,"1,006","3,401.5"
2018,March,2 Eastern, Strathbogie,438,"4,115.0"
2018,March,2 Eastern, Towong,171,"2,824.6"
2018,March,2 Eastern, Wangaratta,"1,799","6,185.1"
2018,March,2 Eastern, Wellington,"2,657","6,036.3"
2018,March,2 Eastern, Whitehorse,"6,497","3,685.8"
2018,March,2 Eastern, Wodonga,"2,369","5,718.2"
2018,March,2 Eastern, Yarra Ranges,"5,516","3,487.4"
2018,March,2 Eastern,Total,"82,746","4,869.5"
2018,March,3 Southern Metro, Bayside,"3,897","3,685.3"
2018,March,3 Southern Metro, Cardinia,"4,294","4,008.7"
2018,March,3 Southern Metro, Casey,"14,726","4,325.5"
2018,March,3 Southern Metro, Frankston,"10,719","7,556.7"
2018,March,3 Southern Metro, Glen Eira,"5,232","3,399.2"
2018,March,3 Southern Metro, Greater Dandenong,"13,628","8,202.7"
2018,March,3 Southern Metro, Kingston,"7,907","4,837.5"
2018,March,3 Southern Metro, Mornington Peninsula,"8,519","5,137.4"
2018,March,3 Southern Metro, Port Phillip,"9,780","8,634.6"
2018,March,3 Southern Metro, Stonnington,"8,001","6,880.7"
2018,March,3 Southern Metro,Total,"86,703","5,508.3"
2018,March,4 Western, Ararat,885,"7,503.2"
2018,March,4 Western, Ballarat,"8,900","8,292.6"
2018,March,4 Western, Buloke,168,"2,717.1"
2018,March,4 Western, Campaspe,"2,511","6,680.0"
2018,March,4 Western, Central Goldfields,907,"6,867.1"
2018,March,4 Western, Colac-Otway,"1,242","5,776.2"
2018,March,4 Western, Corangamite,620,"3,841.6"
2018,March,4 Western, Gannawarra,417,"3,954.1"
2018,March,4 Western, Glenelg,"1,196","6,082.2"
2018,March,4 Western, Golden Plains,481,"2,080.6"
2018,March,4 Western, Greater Bendigo,"7,089","6,109.0"
2018,March,4 Western, Greater Geelong,"16,864","6,686.0"
2018,March,4 Western, Hepburn,639,"4,041.2"
2018,March,4 Western, Hindmarsh,253,"4,482.6"
2018,March,4 Western, Horsham,"1,637","8,236.9"
2018,March,4 Western, Loddon,317,"4,219.4"
2018,March,4 Western, Macedon Ranges,"1,522","3,081.8"
2018,March,4 Western, Mildura,"4,822","8,685.8"
2018,March,4 Western, Moorabool,"1,823","5,337.3"
2018,March,4 Western, Mount Alexander,733,"3,756.3"
2018,March,4 Western, Moyne,464,"2,747.7"
2018,March,4 Western, Northern Grampians,802,"7,016.6"
2018,March,4 Western, Pyrenees,307,"4,175.2"
2018,March,4 Western, Queenscliffe,108,"3,621.7"
2018,March,4 Western, Southern Grampians,"1,004","6,222.9"
2018,March,4 Western, Surf Coast,952,"2,951.8"
2018,March,4 Western, Swan Hill,"1,752","8,439.3"
2018,March,4 Western, Warrnambool,"2,707","7,764.7"
2018,March,4 Western, West Wimmera,114,"2,951.8"
2018,March,4 Western, Yarriambiack,358,"5,377.0"
2018,March,4 Western,Total,"61,594","6,184.5"
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,476",
2018,March,Justice Institutions and Immigration Facilities,Total,"1,476",
