Year,Year_ending,Police_Region,Local_Government_Area,Incidents_Recorded,"Rate_per_1k_population"
2018,March,Unincorporated Vic, Unincorporated Vic,117,
2018,March,Unincorporated Vic,Total,117,
2017,March,1 North West Metro, Banyule,"7,447","5,767.7"
2017,March,1 North West Metro, Brimbank,"14,670","7,087.1"
2017,March,1 North West Metro, Darebin,"13,200","8,314.9"
2017,March,1 North West Metro, Hobsons Bay,"5,227","5,498.0"
2017,March,1 North West Metro, Hume,"17,033","7,913.6"
2017,March,1 North West Metro, Maribyrnong,"7,193","8,049.3"
2017,March,1 North West Metro, Melbourne,"28,114","17,666.1"
2017,March,1 North West Metro, Melton,"8,968","6,034.3"
2017,March,1 North West Metro, Moonee Valley,"7,759","6,186.9"
2017,March,1 North West Metro, Moreland,"11,798","6,666.5"
2017,March,1 North West Metro, Nillumbik,"2,171","3,359.7"
2017,March,1 North West Metro, Whittlesea,"12,870","5,967.0"
2017,March,1 North West Metro, Wyndham,"11,966","4,963.7"
2017,March,1 North West Metro, Yarra,"11,310","11,782.0"
2017,March,1 North West Metro,Total,"1,59,726","7,527.0"
2017,March,2 Eastern, Alpine,280,"2,215.5"
2017,March,2 Eastern, Bass Coast,"1,986","5,775.6"
2017,March,2 Eastern, Baw Baw,"2,894","5,710.8"
2017,March,2 Eastern, Benalla,"1,000","7,156.1"
2017,March,2 Eastern, Boroondara,"7,007","3,899.8"
2017,March,2 Eastern, East Gippsland,"2,951","6,396.3"
2017,March,2 Eastern, Greater Shepparton,"6,307","9,621.1"
2017,March,2 Eastern, Indigo,350,"2,142.9"
2017,March,2 Eastern, Knox,"9,323","5,761.1"
2017,March,2 Eastern, Latrobe,"10,348","13,814.3"
2017,March,2 Eastern, Manningham,"4,064","3,270.3"
2017,March,2 Eastern, Mansfield,470,"5,343.3"
2017,March,2 Eastern, Maroondah,"7,070","6,078.0"
2017,March,2 Eastern, Mitchell,"3,140","7,318.8"
2017,March,2 Eastern, Moira,"1,376","4,640.5"
2017,March,2 Eastern, Monash,"9,028","4,584.6"
2017,March,2 Eastern, Murrindindi,524,"3,681.3"
2017,March,2 Eastern, South Gippsland,"1,145","3,905.1"
2017,March,2 Eastern, Strathbogie,462,"4,406.7"
2017,March,2 Eastern, Towong,174,"2,881.3"
2017,March,2 Eastern, Wangaratta,"1,877","6,505.4"
2017,March,2 Eastern, Wellington,"3,224","7,360.6"
2017,March,2 Eastern, Whitehorse,"6,614","3,817.3"
2017,March,2 Eastern, Wodonga,"2,532","6,204.1"
2017,March,2 Eastern, Yarra Ranges,"6,435","4,102.1"
2017,March,2 Eastern,Total,"90,581","5,396.1"
2017,March,3 Southern Metro, Bayside,"4,127","3,957.5"
2017,March,3 Southern Metro, Cardinia,"5,199","5,077.0"
2017,March,3 Southern Metro, Casey,"18,108","5,541.5"
2017,March,3 Southern Metro, Frankston,"12,351","8,777.1"
2017,March,3 Southern Metro, Glen Eira,"5,873","3,877.7"
2017,March,3 Southern Metro, Greater Dandenong,"15,458","9,453.4"
2017,March,3 Southern Metro, Kingston,"8,381","5,203.9"
2017,March,3 Southern Metro, Mornington Peninsula,"8,942","5,458.0"
2017,March,3 Southern Metro, Port Phillip,"10,468","9,459.9"
2017,March,3 Southern Metro, Stonnington,"9,107","8,004.6"
2017,March,3 Southern Metro,Total,"98,014","6,370.9"
2017,March,4 Western, Ararat,909,"7,732.2"
2017,March,4 Western, Ballarat,"9,216","8,742.0"
2017,March,4 Western, Buloke,141,"2,272.4"
2017,March,4 Western, Campaspe,"2,741","7,290.5"
2017,March,4 Western, Central Goldfields,949,"7,217.8"
2017,March,4 Western, Colac-Otway,"1,616","7,540.8"
2017,March,4 Western, Corangamite,801,"4,941.4"
2017,March,4 Western, Gannawarra,528,"4,995.7"
2017,March,4 Western, Glenelg,"1,380","7,007.9"
2017,March,4 Western, Golden Plains,590,"2,614.3"
2017,March,4 Western, Greater Bendigo,"8,032","7,040.0"
2017,March,4 Western, Greater Geelong,"18,084","7,359.4"
2017,March,4 Western, Hepburn,723,"4,626.0"
2017,March,4 Western, Hindmarsh,288,"5,036.7"
2017,March,4 Western, Horsham,"1,756","8,830.8"
2017,March,4 Western, Loddon,393,"5,235.1"
2017,March,4 Western, Macedon Ranges,"1,643","3,393.1"
2017,March,4 Western, Mildura,"5,216","9,459.2"
2017,March,4 Western, Moorabool,"1,981","5,923.7"
2017,March,4 Western, Mount Alexander,908,"4,705.4"
2017,March,4 Western, Moyne,488,"2,906.0"
2017,March,4 Western, Northern Grampians,933,"8,101.1"
2017,March,4 Western, Pyrenees,360,"4,892.6"
2017,March,4 Western, Queenscliffe,135,"4,562.4"
2017,March,4 Western, Southern Grampians,"1,025","6,357.4"
2017,March,4 Western, Surf Coast,"1,068","3,407.0"
2017,March,4 Western, Swan Hill,"1,753","8,408.9"
2017,March,4 Western, Warrnambool,"2,589","7,489.4"
2017,March,4 Western, West Wimmera,123,"3,158.7"
2017,March,4 Western, Yarriambiack,330,"4,937.2"
2017,March,4 Western,Total,"66,699","6,795.3"
2017,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,125",
2017,March,Justice Institutions and Immigration Facilities,Total,"1,125",
2017,March,Unincorporated Vic, Unincorporated Vic,126,
2017,March,Unincorporated Vic,Total,126,
2016,March,1 North West Metro, Banyule,"7,224","5,668.2"
2016,March,1 North West Metro, Brimbank,"14,970","7,331.4"
2016,March,1 North West Metro, Darebin,"11,893","7,666.7"
2016,March,1 North West Metro, Hobsons Bay,"5,541","5,929.7"
2016,March,1 North West Metro, Hume,"15,598","7,533.8"
2016,March,1 North West Metro, Maribyrnong,"7,178","8,256.1"
2016,March,1 North West Metro, Melbourne,"25,691","17,585.0"
2016,March,1 North West Metro, Melton,"8,794","6,218.4"
2016,March,1 North West Metro, Moonee Valley,"7,066","5,750.7"
2016,March,1 North West Metro, Moreland,"11,173","6,484.8"
2016,March,1 North West Metro, Nillumbik,"2,092","3,259.9"
2016,March,1 North West Metro, Whittlesea,"11,094","5,357.9"
2016,March,1 North West Metro, Wyndham,"11,950","5,264.1"
2016,March,1 North West Metro, Yarra,"10,383","11,177.3"
2016,March,1 North West Metro,Total,"1,50,647","7,355.8"
2016,March,2 Eastern, Alpine,328,"2,607.7"
2016,March,2 Eastern, Bass Coast,"2,023","6,045.3"
2016,March,2 Eastern, Baw Baw,"2,652","5,379.7"
2016,March,2 Eastern, Benalla,891,"6,372.5"
2016,March,2 Eastern, Boroondara,"6,152","3,470.3"
2016,March,2 Eastern, East Gippsland,"3,278","7,188.6"
2016,March,2 Eastern, Greater Shepparton,"5,670","8,713.4"
2016,March,2 Eastern, Indigo,383,"2,369.3"
2016,March,2 Eastern, Knox,"7,683","4,791.3"
2016,March,2 Eastern, Latrobe,"9,372","12,559.3"
2016,March,2 Eastern, Manningham,"3,403","2,776.4"
2016,March,2 Eastern, Mansfield,416,"4,795.9"
2016,March,2 Eastern, Maroondah,"6,063","5,281.4"
2016,March,2 Eastern, Mitchell,"2,981","7,132.4"
2016,March,2 Eastern, Moira,"1,189","4,032.4"
2016,March,2 Eastern, Monash,"7,876","4,088.8"
2016,March,2 Eastern, Murrindindi,569,"4,049.2"
2016,March,2 Eastern, South Gippsland,893,"3,066.4"
2016,March,2 Eastern, Strathbogie,400,"3,862.1"
2016,March,2 Eastern, Towong,181,"2,993.7"
2016,March,2 Eastern, Wangaratta,"1,667","5,830.3"
2016,March,2 Eastern, Wellington,"3,102","7,126.1"
2016,March,2 Eastern, Whitehorse,"5,837","3,440.8"
2016,March,2 Eastern, Wodonga,"2,567","6,401.5"
2016,March,2 Eastern, Yarra Ranges,"5,737","3,695.9"
2016,March,2 Eastern,Total,"81,313","4,913.1"
2016,March,3 Southern Metro, Bayside,"3,827","3,718.7"
2016,March,3 Southern Metro, Cardinia,"4,956","5,079.3"
2016,March,3 Southern Metro, Casey,"15,785","5,046.5"
2016,March,3 Southern Metro, Frankston,"11,181","8,014.9"
2016,March,3 Southern Metro, Glen Eira,"5,207","3,504.4"
2016,March,3 Southern Metro, Greater Dandenong,"14,062","8,776.6"
2016,March,3 Southern Metro, Kingston,"8,365","5,263.0"
2016,March,3 Southern Metro, Mornington Peninsula,"8,591","5,318.6"
2016,March,3 Southern Metro, Port Phillip,"9,847","9,065.0"
2016,March,3 Southern Metro, Stonnington,"8,047","7,249.4"
2016,March,3 Southern Metro,Total,"89,868","5,984.5"
2016,March,4 Western, Ararat,879,"7,484.0"
2016,March,4 Western, Ballarat,"9,034","8,728.5"
2016,March,4 Western, Buloke,177,"2,816.7"
2016,March,4 Western, Campaspe,"2,518","6,697.7"
2016,March,4 Western, Central Goldfields,911,"6,961.1"
2016,March,4 Western, Colac-Otway,"1,207","5,650.2"
2016,March,4 Western, Corangamite,563,"3,466.1"
2016,March,4 Western, Gannawarra,440,"4,163.9"
2016,March,4 Western, Glenelg,"1,246","6,306.0"
2016,March,4 Western, Golden Plains,600,"2,725.3"
2016,March,4 Western, Greater Bendigo,"6,639","5,913.6"
2016,March,4 Western, Greater Geelong,"16,887","7,050.1"
2016,March,4 Western, Hepburn,612,"3,942.0"
2016,March,4 Western, Hindmarsh,168,"2,904.6"
2016,March,4 Western, Horsham,"2,036","10,239.4"
2016,March,4 Western, Loddon,309,"4,088.4"
2016,March,4 Western, Macedon Ranges,"1,617","3,405.6"
2016,March,4 Western, Mildura,"4,700","8,598.9"
2016,March,4 Western, Moorabool,"1,666","5,099.2"
2016,March,4 Western, Mount Alexander,808,"4,231.0"
2016,March,4 Western, Moyne,427,"2,551.2"
2016,March,4 Western, Northern Grampians,824,"7,121.9"
2016,March,4 Western, Pyrenees,414,"5,658.8"
2016,March,4 Western, Queenscliffe,146,"4,984.6"
2016,March,4 Western, Southern Grampians,851,"5,278.2"
2016,March,4 Western, Surf Coast,"1,207","3,961.9"
2016,March,4 Western, Swan Hill,"1,608","7,695.3"
2016,March,4 Western, Warrnambool,"2,207","6,445.3"
2016,March,4 Western, West Wimmera,115,"2,921.0"
2016,March,4 Western, Yarriambiack,331,"4,908.8"
2016,March,4 Western,Total,"61,147","6,319.6"
2016,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,794,
2016,March,Justice Institutions and Immigration Facilities,Total,794,
2016,March,Unincorporated Vic, Unincorporated Vic,94,
2016,March,Unincorporated Vic,Total,94,
2015,March,1 North West Metro, Banyule,"6,577","5,216.2"
2015,March,1 North West Metro, Brimbank,"13,733","6,837.1"
2015,March,1 North West Metro, Darebin,"10,773","7,088.7"
2015,March,1 North West Metro, Hobsons Bay,"5,373","5,861.0"
2015,March,1 North West Metro, Hume,"13,486","6,805.1"
2015,March,1 North West Metro, Maribyrnong,"6,436","7,591.1"
2015,March,1 North West Metro, Melbourne,"23,674","17,296.5"
2015,March,1 North West Metro, Melton,"7,501","5,559.8"
2015,March,1 North West Metro, Moonee Valley,"6,488","5,396.3"
2015,March,1 North West Metro, Moreland,"10,322","6,148.8"
2015,March,1 North West Metro, Nillumbik,"1,653","2,596.0"
2015,March,1 North West Metro, Whittlesea,"10,003","5,081.6"
2015,March,1 North West Metro, Wyndham,"10,009","4,681.1"
2015,March,1 North West Metro, Yarra,"9,696","10,782.6"
2015,March,1 North West Metro,Total,"1,35,724","6,862.7"
2015,March,2 Eastern, Alpine,299,"2,405.7"
2015,March,2 Eastern, Bass Coast,"1,897","5,823.3"
2015,March,2 Eastern, Baw Baw,"2,297","4,801.7"
2015,March,2 Eastern, Benalla,789,"5,666.9"
2015,March,2 Eastern, Boroondara,"5,639","3,226.8"
2015,March,2 Eastern, East Gippsland,"2,940","6,552.6"
2015,March,2 Eastern, Greater Shepparton,"5,576","8,646.4"
2015,March,2 Eastern, Indigo,315,"1,978.4"
2015,March,2 Eastern, Knox,"6,933","4,368.6"
2015,March,2 Eastern, Latrobe,"8,084","10,885.2"
2015,March,2 Eastern, Manningham,"3,146","2,604.6"
2015,March,2 Eastern, Mansfield,326,"3,821.8"
2015,March,2 Eastern, Maroondah,"5,613","4,966.2"
2015,March,2 Eastern, Mitchell,"2,192","5,444.1"
2015,March,2 Eastern, Moira,"1,078","3,680.7"
2015,March,2 Eastern, Monash,"6,908","3,651.7"
2015,March,2 Eastern, Murrindindi,478,"3,451.8"
2015,March,2 Eastern, South Gippsland,952,"3,307.7"
2015,March,2 Eastern, Strathbogie,322,"3,164.6"
2015,March,2 Eastern, Towong,141,"2,348.0"
2015,March,2 Eastern, Wangaratta,"1,634","5,806.1"
2015,March,2 Eastern, Wellington,"2,868","6,643.2"
2015,March,2 Eastern, Whitehorse,"5,647","3,387.9"
2015,March,2 Eastern, Wodonga,"2,460","6,271.8"
2015,March,2 Eastern, Yarra Ranges,"5,252","3,423.9"
2015,March,2 Eastern,Total,"73,786","4,526.1"
2015,March,3 Southern Metro, Bayside,"3,361","3,318.9"
2015,March,3 Southern Metro, Cardinia,"3,942","4,270.9"
2015,March,3 Southern Metro, Casey,"13,504","4,508.4"
2015,March,3 Southern Metro, Frankston,"10,397","7,545.5"
2015,March,3 Southern Metro, Glen Eira,"4,475","3,066.7"
2015,March,3 Southern Metro, Greater Dandenong,"12,165","7,795.0"
2015,March,3 Southern Metro, Kingston,"7,240","4,633.8"
2015,March,3 Southern Metro, Mornington Peninsula,"7,366","4,637.6"
2015,March,3 Southern Metro, Port Phillip,"9,138","8,589.9"
2015,March,3 Southern Metro, Stonnington,"7,265","6,725.1"
2015,March,3 Southern Metro,Total,"78,853","5,392.2"
2015,March,4 Western, Ararat,860,"7,385.8"
2015,March,4 Western, Ballarat,"7,825","7,711.0"
2015,March,4 Western, Buloke,200,"3,171.6"
2015,March,4 Western, Campaspe,"2,281","6,094.2"
2015,March,4 Western, Central Goldfields,808,"6,239.4"
2015,March,4 Western, Colac-Otway,"1,055","4,969.4"
2015,March,4 Western, Corangamite,445,"2,734.4"
2015,March,4 Western, Gannawarra,433,"4,109.7"
2015,March,4 Western, Glenelg,"1,404","7,119.0"
2015,March,4 Western, Golden Plains,490,"2,291.0"
2015,March,4 Western, Greater Bendigo,"6,088","5,539.2"
2015,March,4 Western, Greater Geelong,"14,779","6,344.9"
2015,March,4 Western, Hepburn,500,"3,260.7"
2015,March,4 Western, Hindmarsh,152,"2,617.1"
2015,March,4 Western, Horsham,"1,672","8,447.9"
2015,March,4 Western, Loddon,251,"3,332.9"
2015,March,4 Western, Macedon Ranges,"1,419","3,060.0"
2015,March,4 Western, Mildura,"4,627","8,543.8"
2015,March,4 Western, Moorabool,"1,517","4,778.3"
2015,March,4 Western, Mount Alexander,682,"3,628.8"
2015,March,4 Western, Moyne,448,"2,700.3"
2015,March,4 Western, Northern Grampians,769,"6,604.3"
2015,March,4 Western, Pyrenees,352,"4,903.2"
2015,March,4 Western, Queenscliffe,106,"3,614.0"
2015,March,4 Western, Southern Grampians,679,"4,201.2"
2015,March,4 Western, Surf Coast,901,"3,041.4"
2015,March,4 Western, Swan Hill,"1,642","7,859.1"
2015,March,4 Western, Warrnambool,"2,008","5,905.0"
2015,March,4 Western, West Wimmera,80,"2,013.1"
2015,March,4 Western, Yarriambiack,207,"3,032.5"
2015,March,4 Western,Total,"54,680","5,748.8"
2015,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,748,
2015,March,Justice Institutions and Immigration Facilities,Total,748,
2015,March,Unincorporated Vic, Unincorporated Vic,98,
2015,March,Unincorporated Vic,Total,98,
2014,March,1 North West Metro, Banyule,"6,839","5,466.5"
2014,March,1 North West Metro, Brimbank,"15,090","7,603.2"
2014,March,1 North West Metro, Darebin,"10,716","7,167.4"
2014,March,1 North West Metro, Hobsons Bay,"5,444","6,021.0"
2014,March,1 North West Metro, Hume,"12,655","6,616.0"
2014,March,1 North West Metro, Maribyrnong,"6,943","8,419.5"
2014,March,1 North West Metro, Melbourne,"24,833","19,404.6"
2014,March,1 North West Metro, Melton,"7,195","5,564.2"
2014,March,1 North West Metro, Moonee Valley,"6,371","5,410.0"
2014,March,1 North West Metro, Moreland,"9,812","5,979.3"
2014,March,1 North West Metro, Nillumbik,"1,597","2,517.6"
2014,March,1 North West Metro, Whittlesea,"10,185","5,420.5"
2014,March,1 North West Metro, Wyndham,"10,256","5,089.5"
2014,March,1 North West Metro, Yarra,"9,791","11,224.6"
2014,March,1 North West Metro,Total,"1,37,727","7,186.5"
2014,March,2 Eastern, Alpine,355,"2,873.3"
2014,March,2 Eastern, Bass Coast,"2,079","6,513.8"
2014,March,2 Eastern, Baw Baw,"2,251","4,825.9"
2014,March,2 Eastern, Benalla,859,"6,180.7"
2014,March,2 Eastern, Boroondara,"5,967","3,455.9"
2014,March,2 Eastern, East Gippsland,"3,047","6,881.7"
2014,March,2 Eastern, Greater Shepparton,"5,347","8,365.3"
2014,March,2 Eastern, Indigo,365,"2,320.1"
2014,March,2 Eastern, Knox,"7,315","4,646.4"
2014,March,2 Eastern, Latrobe,"7,729","10,425.7"
2014,March,2 Eastern, Manningham,"3,209","2,686.8"
2014,March,2 Eastern, Mansfield,338,"4,026.2"
2014,March,2 Eastern, Maroondah,"5,847","5,247.7"
2014,March,2 Eastern, Mitchell,"2,013","5,150.4"
2014,March,2 Eastern, Moira,"1,164","4,000.0"
2014,March,2 Eastern, Monash,"7,078","3,802.3"
2014,March,2 Eastern, Murrindindi,565,"4,128.0"
2014,March,2 Eastern, South Gippsland,894,"3,134.5"
2014,March,2 Eastern, Strathbogie,369,"3,683.4"
2014,March,2 Eastern, Towong,215,"3,594.1"
2014,March,2 Eastern, Wangaratta,"1,730","6,209.2"
2014,March,2 Eastern, Wellington,"2,893","6,736.1"
2014,March,2 Eastern, Whitehorse,"5,803","3,531.5"
2014,March,2 Eastern, Wodonga,"2,348","6,119.5"
2014,March,2 Eastern, Yarra Ranges,"5,294","3,483.6"
2014,March,2 Eastern,Total,"75,074","4,662.3"
2014,March,3 Southern Metro, Bayside,"3,420","3,427.0"
2014,March,3 Southern Metro, Cardinia,"4,291","4,872.3"
2014,March,3 Southern Metro, Casey,"12,311","4,275.6"
2014,March,3 Southern Metro, Frankston,"11,252","8,262.5"
2014,March,3 Southern Metro, Glen Eira,"4,649","3,235.3"
2014,March,3 Southern Metro, Greater Dandenong,"12,605","8,285.4"
2014,March,3 Southern Metro, Kingston,"7,520","4,876.5"
2014,March,3 Southern Metro, Mornington Peninsula,"7,832","5,004.5"
2014,March,3 Southern Metro, Port Phillip,"8,789","8,414.5"
2014,March,3 Southern Metro, Stonnington,"7,427","7,013.6"
2014,March,3 Southern Metro,Total,"80,096","5,605.6"
2014,March,4 Western, Ararat,852,"7,370.2"
2014,March,4 Western, Ballarat,"8,177","8,184.0"
2014,March,4 Western, Buloke,186,"2,936.1"
2014,March,4 Western, Campaspe,"2,150","5,758.2"
2014,March,4 Western, Central Goldfields,802,"6,224.8"
2014,March,4 Western, Colac-Otway,"1,130","5,347.6"
2014,March,4 Western, Corangamite,505,"3,090.6"
2014,March,4 Western, Gannawarra,444,"4,214.9"
2014,March,4 Western, Glenelg,"1,262","6,388.3"
2014,March,4 Western, Golden Plains,393,"1,880.5"
2014,March,4 Western, Greater Bendigo,"6,143","5,690.3"
2014,March,4 Western, Greater Geelong,"14,129","6,203.9"
2014,March,4 Western, Hepburn,532,"3,503.7"
2014,March,4 Western, Hindmarsh,175,"2,994.5"
2014,March,4 Western, Horsham,"1,443","7,307.1"
2014,March,4 Western, Loddon,259,"3,447.4"
2014,March,4 Western, Macedon Ranges,"1,465","3,221.8"
2014,March,4 Western, Mildura,"4,711","8,766.8"
2014,March,4 Western, Moorabool,"1,471","4,735.1"
2014,March,4 Western, Mount Alexander,608,"3,286.3"
2014,March,4 Western, Moyne,460,"2,785.9"
2014,March,4 Western, Northern Grampians,679,"5,765.5"
2014,March,4 Western, Pyrenees,347,"4,924.1"
2014,March,4 Western, Queenscliffe,88,"2,963.0"
2014,March,4 Western, Southern Grampians,887,"5,456.8"
2014,March,4 Western, Surf Coast,"1,025","3,549.9"
2014,March,4 Western, Swan Hill,"1,519","7,254.1"
2014,March,4 Western, Warrnambool,"1,910","5,662.8"
2014,March,4 Western, West Wimmera,136,"3,368.0"
2014,March,4 Western, Yarriambiack,214,"3,090.7"
2014,March,4 Western,Total,"54,102","5,764.6"
2014,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,001",
2014,March,Justice Institutions and Immigration Facilities,Total,"1,001",
2014,March,Unincorporated Vic, Unincorporated Vic,67,
2014,March,Unincorporated Vic,Total,67,
2013,March,1 North West Metro, Banyule,"5,693","4,579.5"
2013,March,1 North West Metro, Brimbank,"15,477","7,889.6"
2013,March,1 North West Metro, Darebin,"9,205","6,250.3"
2013,March,1 North West Metro, Hobsons Bay,"5,856","6,565.9"
2013,March,1 North West Metro, Hume,"11,831","6,399.5"
2013,March,1 North West Metro, Maribyrnong,"7,137","8,945.6"
2013,March,1 North West Metro, Melbourne,"24,530","20,663.6"
2013,March,1 North West Metro, Melton,"6,763","5,456.8"
2013,March,1 North West Metro, Moonee Valley,"6,823","5,909.2"
2013,March,1 North West Metro, Moreland,"9,507","5,931.4"
2013,March,1 North West Metro, Nillumbik,"1,509","2,388.6"
2013,March,1 North West Metro, Whittlesea,"9,715","5,419.1"
2013,March,1 North West Metro, Wyndham,"10,677","5,613.2"
2013,March,1 North West Metro, Yarra,"8,789","10,467.8"
2013,March,1 North West Metro,Total,"1,33,512","7,191.2"
2013,March,2 Eastern, Alpine,293,"2,385.4"
2013,March,2 Eastern, Bass Coast,"1,781","5,684.5"
2013,March,2 Eastern, Baw Baw,"2,119","4,644.2"
2013,March,2 Eastern, Benalla,768,"5,533.9"
2013,March,2 Eastern, Boroondara,"5,805","3,405.0"
2013,March,2 Eastern, East Gippsland,"2,851","6,507.8"
2013,March,2 Eastern, Greater Shepparton,"4,657","7,363.5"
2013,March,2 Eastern, Indigo,339,"2,172.4"
2013,March,2 Eastern, Knox,"6,596","4,218.8"
2013,March,2 Eastern, Latrobe,"7,487","10,100.6"
2013,March,2 Eastern, Manningham,"2,868","2,423.2"
2013,March,2 Eastern, Mansfield,255,"3,081.2"
2013,March,2 Eastern, Maroondah,"5,107","4,652.0"
2013,March,2 Eastern, Mitchell,"1,927","5,099.5"
2013,March,2 Eastern, Moira,"1,030","3,563.4"
2013,March,2 Eastern, Monash,"6,482","3,537.1"
2013,March,2 Eastern, Murrindindi,455,"3,354.7"
2013,March,2 Eastern, South Gippsland,927,"3,278.7"
2013,March,2 Eastern, Strathbogie,376,"3,810.7"
2013,March,2 Eastern, Towong,182,"3,053.2"
2013,March,2 Eastern, Wangaratta,"1,676","6,061.5"
2013,March,2 Eastern, Wellington,"2,830","6,624.4"
2013,March,2 Eastern, Whitehorse,"5,606","3,458.8"
2013,March,2 Eastern, Wodonga,"2,441","6,496.3"
2013,March,2 Eastern, Yarra Ranges,"4,970","3,293.5"
2013,March,2 Eastern,Total,"69,828","4,387.0"
2013,March,3 Southern Metro, Bayside,"3,413","3,473.7"
2013,March,3 Southern Metro, Cardinia,"3,886","4,593.9"
2013,March,3 Southern Metro, Casey,"11,747","4,225.2"
2013,March,3 Southern Metro, Frankston,"10,433","7,765.5"
2013,March,3 Southern Metro, Glen Eira,"4,599","3,255.7"
2013,March,3 Southern Metro, Greater Dandenong,"11,815","7,956.1"
2013,March,3 Southern Metro, Kingston,"7,122","4,675.2"
2013,March,3 Southern Metro, Mornington Peninsula,"7,164","4,651.9"
2013,March,3 Southern Metro, Port Phillip,"8,951","8,762.1"
2013,March,3 Southern Metro, Stonnington,"7,115","6,875.3"
2013,March,3 Southern Metro,Total,"76,245","5,457.9"
2013,March,4 Western, Ararat,871,"7,580.5"
2013,March,4 Western, Ballarat,"7,783","7,914.1"
2013,March,4 Western, Buloke,215,"3,365.7"
2013,March,4 Western, Campaspe,"2,187","5,877.0"
2013,March,4 Western, Central Goldfields,808,"6,305.1"
2013,March,4 Western, Colac-Otway,"1,088","5,172.3"
2013,March,4 Western, Corangamite,491,"2,992.1"
2013,March,4 Western, Gannawarra,401,"3,809.6"
2013,March,4 Western, Glenelg,"1,035","5,228.1"
2013,March,4 Western, Golden Plains,395,"1,939.9"
2013,March,4 Western, Greater Bendigo,"5,735","5,412.6"
2013,March,4 Western, Greater Geelong,"13,096","5,863.3"
2013,March,4 Western, Hepburn,515,"3,428.3"
2013,March,4 Western, Hindmarsh,198,"3,383.5"
2013,March,4 Western, Horsham,"1,315","6,677.2"
2013,March,4 Western, Loddon,325,"4,323.0"
2013,March,4 Western, Macedon Ranges,"1,326","2,973.4"
2013,March,4 Western, Mildura,"4,484","8,435.5"
2013,March,4 Western, Moorabool,"1,386","4,557.7"
2013,March,4 Western, Mount Alexander,624,"3,419.7"
2013,March,4 Western, Moyne,492,"2,994.3"
2013,March,4 Western, Northern Grampians,663,"5,580.8"
2013,March,4 Western, Pyrenees,260,"3,747.5"
2013,March,4 Western, Queenscliffe,85,"2,831.4"
2013,March,4 Western, Southern Grampians,787,"4,812.0"
2013,March,4 Western, Surf Coast,"1,058","3,748.1"
2013,March,4 Western, Swan Hill,"1,349","6,422.9"
2013,March,4 Western, Warrnambool,"1,823","5,454.3"
2013,March,4 Western, West Wimmera,121,"2,934.0"
2013,March,4 Western, Yarriambiack,265,"3,768.5"
2013,March,4 Western,Total,"51,181","5,523.5"
2013,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,853,
2013,March,Justice Institutions and Immigration Facilities,Total,853,
2013,March,Unincorporated Vic, Unincorporated Vic,109,
2013,March,Unincorporated Vic,Total,109,